Distribution des états du 8-Puzzle par nombre minimum de mouvements
Date de génération: 2025-05-28 22:23:12
Nombre total d'états: 181440
Nombre maximum de mouvements: 31

| Mouvements | Nombre d'états | Pourcentage | Cumulatif |
|------------|----------------|-------------|------------|
|          0 |              1 |    0.000551% |   0.000551% |
|          1 |              2 |    0.001102% |   0.001653% |
|          2 |              4 |    0.002205% |   0.003858% |
|          3 |              8 |    0.004409% |   0.008267% |
|          4 |             16 |    0.008818% |   0.017086% |
|          5 |             20 |    0.011023% |   0.028108% |
|          6 |             39 |    0.021495% |   0.049603% |
|          7 |             62 |    0.034171% |   0.083774% |
|          8 |            116 |    0.063933% |   0.147707% |
|          9 |            152 |    0.083774% |   0.231481% |
|         10 |            286 |    0.157628% |   0.389109% |
|         11 |            396 |    0.218254% |   0.607363% |
|         12 |            748 |    0.412257% |   1.019621% |
|         13 |          1,024 |    0.564374% |   1.583995% |
|         14 |          1,893 |    1.043320% |   2.627315% |
|         15 |          2,512 |    1.384480% |   4.011795% |
|         16 |          4,485 |    2.471892% |   6.483686% |
|         17 |          5,638 |    3.107363% |   9.591049% |
|         18 |          9,529 |    5.251874% |  14.842923% |
|         19 |         10,878 |    5.995370% |  20.838294% |
|         20 |         16,993 |    9.365631% |  30.203924% |
|         21 |         17,110 |    9.430115% |  39.634039% |
|         22 |         23,952 |   13.201058% |  52.835097% |
|         23 |         20,224 |   11.146384% |  63.981481% |
|         24 |         24,047 |   13.253417% |  77.234899% |
|         25 |         15,578 |    8.585758% |  85.820657% |
|         26 |         14,560 |    8.024691% |  93.845348% |
|         27 |          6,274 |    3.457892% |  97.303241% |
|         28 |          3,910 |    2.154982% |  99.458223% |
|         29 |            760 |    0.418871% |  99.877094% |
|         30 |            221 |    0.121803% |  99.998898% |
|         31 |              2 |    0.001102% | 100.000000% |
